imdbId,title,year,genres,movieId
tt4438688,Polskie gówno,,Comedy|Musical,128734
tt4006044,The Republic,,Action|Crime|Thriller,148093
tt2318579,La Toma,,Documentary,207513
tt10575038,Aziz Ansari: RIGHT NOW,2019,Comedy,203881
tt8773020,Rocca verändert die Welt,2019,Children,206282
tt2710166,The Ronda Rousey Story: Through My Father's Eyes,2019,Documentary,214936
tt8417466,We Belong Together,2018,Thriller,216454
tt8819192,Women Make Film: A New Road Movie Through Cinema,2018,Documentary,217137
tt7248144,An Affair,2018,Thriller,219201
tt9372822,Tenderness,2018,Comedy,237231
tt5305352,Valentine,2017,Action|Sci-Fi,202827
tt5186608,I Can I Will I Did,2017,Drama,290831
tt4035866,Head,2015,Comedy|Horror,208799
tt3564534,"Necessary War, The",2014,Documentary,113470
tt3670792,Learning to Ride,2014,Drama|Romance,115715
tt5714216,Black Butler: Book of Murder,2014,Adventure|Animation|Mystery,234301
tt2380408,Clear History,2013,Comedy,104155
tt2445556,B-Side,2013,Comedy|Romance,105841
tt2973064,Precision: The Measure of All Things,2013,Documentary,106076
tt2928078,"2013 Rock and Roll Hall of Fame Induction Ceremony, The",2013,Documentary|Musical,107623
tt2327631,Weight of the Nation,2012,Documentary,97466
tt2167873,Rouva presidentti,2012,Documentary,106914
tt2625082,First Man on the Moon,2012,Documentary,208806
tt1675167,Frozen Hell (Jäämarssi),2011,Documentary|War,90273
tt1759871,Enon opetukset,2011,Comedy|Drama,91229
tt2109106,Crime Lords of Tokyo,2011,Documentary,96939
tt2060305,"Code, The",2011,Documentary,106074
tt2178929,Love and Sex under Nazi Occupation (Amour et sexe sous l'occupation),2011,Documentary,107970
tt2285557,Les Feux Arctiques (Arktiset tulet),2011,Documentary|Drama,108667
tt1433856,In the Shadow of Doubt (Epäilyksen varjossa),2010,Documentary,74679
tt1594971,Malice N Wonderland,2010,Drama|Musical,78974
tt1590050,Holokaustin värit,2010,Documentary|War,84974
tt1753881,Guilty Pleasures,2010,Documentary,89066
tt1541788,10 Mountains 10 Years,2010,Documentary,93391
tt1706542,"Ah of Life, The",2010,Drama|Romance|Sci-Fi,100198
tt1515059,Family Affair,2010,Documentary,105663
tt1647292,"Story of Science, The",2010,Documentary,106115
tt1714046,Faith School Menace?,2010,Documentary,113855
tt1359583,Within Limits (Liikkumavara),2009,Documentary,68533
tt1517595,"Introduction to Physics, An",2009,Adventure|Comedy|Documentary|Fantasy,72332
tt1474312,Schmatta: Rags to Riches to Rags,2009,Documentary,79866
tt1337601,"Cost of Oil: Voices from the Arctic, The",2009,Documentary,100655
tt1675198,Science and Islam,2009,Documentary,106098
